"Category","ID","Name (English)","Name (Arabic)","Description (English)","Description (Arabic)","Image Path","Facebook URL","Instagram URL","LinkedIn URL","Telegram URL","Telegram URL (Secondary)","Twitter/X URL","Website URL","WhatsApp URL","YouTube URL"
"Governorates","gov-damascus","Damascus Governorate","محافظة دمشق","The capital of Syria","العاصمة السورية","images/governorates/gov-damascus.webp","https://www.facebook.com/share/18YdzgxcqW/",,,"https://t.me/DamascusGov1",,,,"https://whatsapp.com/channel/0029Vb0BpWCD8SE6dhDM3P35",
"Governorates","gov-rural-damascus","Rural Damascus Governorate","محافظة ريف دمشق","The surrounding governorate of Damascus","المحافظة المحيطة بدمشق","images/governorates/gov-rural-damascus.webp","https://www.facebook.com/shamsewar?mibextid=ZbWKwL",,,"https://t.me/Free_R_Damascus",,,,"https://whatsapp.com/channel/0029VawfLxU47Xe9fkVkeB3o",
"Governorates","gov-aleppo","Aleppo Governorate","محافظة حلب","The industrial capital of Syria","عاصمة الصناعة السورية","images/governorates/gov-aleppo.webp","https://www.facebook.com/profile.php?id=61569786300600&mibextid=ZbWKwL",,,"https://t.me/AleppoGov1",,,,"https://whatsapp.com/channel/0029VatzImW4IBhKPOVECo1t",
"Governorates","gov-homs","Homs Governorate","محافظة حمص","The revolutionary capital of Syria","عاصمة الثورة السورية","images/governorates/gov-homs.webp","https://www.facebook.com/HomsGov1",,,"https://t.me/HomsGov1",,,,"https://whatsapp.com/channel/0029VazgZGQ6xCSXOSCe5w34",
"Governorates","gov-hama","Hama Governorate","محافظة حماة","The governorate known for its waterwheels","محافظة النواعير","images/governorates/gov-hama.webp","https://www.facebook.com/profile.php?id=61570565693800&mibextid=ZbWKwL",,,"https://t.me/HamaGov1",,,,"https://whatsapp.com/channel/0029VavaI0i2ZjCha8900j2H",
"Governorates","gov-lattakia","Lattakia Governorate","محافظة اللاذقية","The coastal governorate of Syria","المحافظة الساحلية في سوريا","images/governorates/gov-lattakia.webp","https://www.facebook.com/profile.php?id=61570241887147&mibextid=kFxxJD",,,"https://t.me/LatakiaGov1",,,,"https://whatsapp.com/channel/0029Vb00xnp0lwgsFHsH4s0K",
"Governorates","gov-tartus","Tartus Governorate","محافظة طرطوس","The southern coastal governorate of Syria","المحافظة الساحلية الجنوبية في سوريا","images/governorates/gov-tartus.webp","https://www.facebook.com/profile.php?id=61569805704680&mibextid=JRoKGi",,,"https://t.me/TartusGov1",,,,"https://whatsapp.com/channel/0029VazKoaO72WTzYPYkiK0U",
"Governorates","gov-daraa","Daraa Governorate","محافظة درعا","The southern governorate of Syria","المحافظة الجنوبية في سوريا","images/governorates/gov-daraa.webp","https://www.facebook.com/profile.php?id=61570255894645&mibextid=kFxxJD",,,"https://t.me/DaraaGov1",,,,"https://whatsapp.com/channel/0029Vav44VR545v141r1662m",
"Governorates","gov-quneitra","Quneitra Governorate","محافظة القنيطرة","The southwestern governorate of Syria","المحافظة الجنوبية الغربية في سوريا","images/governorates/gov-quneitra.webp","https://www.facebook.com/profile.php?id=61570800710870&mibextid=ZbWKwL",,,"https://t.me/Free_Kenitra_city",,,,"https://whatsapp.com/channel/0029VazaWGOEQIak9SYWm90d",
"Governorates","gov-deir-ez-zor","Deir ez-Zor Governorate","محافظة دير الزور","The eastern governorate of Syria","المحافظة الشرقية في سوريا","images/governorates/gov-deir-ez-zor.webp","https://www.facebook.com/profile.php?id=61570212550810&mibextid=ZbWKwL",,,"https://t.me/Free_Deir_ezZor_city",,,,"https://whatsapp.com/channel/0029Vav66zrBVJlDd6NZqJ3g",
"Governorates","gov-idlib","Idlib Governorate","محافظة إدلب","The northwestern governorate of Syria","المحافظة الشمالية الغربية في سوريا","images/governorates/gov-idlib.webp","https://www.facebook.com/profile.php?id=61570241356582&mibextid=ZbWKwL",,,"https://t.me/Idlib_Gov",,,,"https://whatsapp.com/channel/0029Vb0ET5lFMqrWgxJlAn2q",
